transaction_type,currency,date,amount
DEPOSIT,USD,2025-07-01,1000
WITHDRAW,USD,2025-07-01,500
DEPOSIT,USD,2025-07-02,1500
WITHDRAW,USD,2025-07-02,300
DEPOSIT,USD,2025-07-01,200
DEPOSIT,USD,2025-07-01,1000
WITHDRAW,USD,2025-07-01,500
DEPOSIT,USD,2025-07-02,1500
WITHDRAW,USD,2025-07-02,300
DEPOSIT,USD,2025-07-01,200
DEPOSIT,USD,2025-07-01,1000
WITHDRAW,USD,2025-07-01,500
DEPOSIT,USD,2025-07-02,1500
WITHDRAW,USD,2025-07-02,300
DEPOSIT,USD,2025-07-01,200
DEPOSIT,USD,2025-07-01,1000
WITHDRAW,USD,2025-07-01,500
DEPOSIT,USD,2025-07-02,1500
WITHDRAW,USD,2025-07-02,300
